ID,鉄道事業者名,鉄道駅の名称,路線名,都道府県,市,段差への対応,プラットホームの数,段差が解消されているプラットホームの数,エレベーターの設置基数,移動等円滑化基準に適合しているエレベーターの設置基数,エスカレーターの設置基数,移動等円滑化基準に適合しているエスカレーターの設置基数,その他の昇降機の設置基数,傾斜路の設置箇所数,移動等円滑化基準に適合している傾斜路の設置箇所数,視覚障害者誘導用ブロックの設置の有無,案内設備の設置の有無,障害者対応型便所の設置の有無,障害者対応型改札口の設置の有無,障害者対応型券売機の設置の有無,車いす使用者の円滑な乗降が可能なプラットホームの数,転落防止のための設備の設置の有無
116,JR東日本,武蔵五日市,五日市,東京都,あきる野市,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
117,JR東日本,北八王子,八高,東京都,八王子市,1,2,2,2,2,3,3,3,3,3,1,3,1,1,1,3,1
118,JR東日本,小宮,八高,東京都,八王子市,1,2,2,2,2,3,3,3,3,3,1,3,1,1,1,3,1
119,JR東日本,東福生,八高,東京都,福生市,3,1,1,3,3,3,3,3,3,3,1,3,3,1,1,3,1
120,JR東日本,箱根ケ崎,八高,東京都,瑞穂町,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
121,JR東日本,錦糸町,総武本・総武（各駅停車）,東京都,墨田区,1,2,2,2,2,4,2,3,3,3,1,1,1,1,1,3,1
122,JR東日本,亀戸,総武（各駅停車）,東京都,江東区,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
123,JR東日本,平井,総武（各駅停車）,東京都,江戸川区,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
124,JR東日本,新小岩,総武本・総武（各駅停車）,東京都,葛飾区,1,2,2,3,3,4,2,2,1,3,1,1,1,1,1,3,1
125,JR東日本,小岩,総武（各駅停車）,東京都,江戸川区,1,1,1,3,3,4,3,3,3,3,1,1,1,1,1,3,1
126,JR東日本,浅草橋,総武（各駅停車）,東京都,台東区,1,2,2,3,3,3,3,3,3,3,1,3,1,1,1,3,1
127,JR東日本,両国,総武（各駅停車）,東京都,墨田区,1,2,2,1,1,4,1,3,3,3,1,1,1,1,1,3,1
128,JR東日本,潮見,京葉・武蔵野,東京都,江東区,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,3,1
129,JR東日本,新木場,京葉・武蔵野,東京都,江東区,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
130,JR東日本,葛西臨海公園,京葉・武蔵野,東京都,江戸川区,1,1,1,2,2,1,3,3,3,3,1,1,1,1,1,3,1
